ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
12760,EU,Refused221g,2023EU21091,YRV,2023-Aug-03,,,30
12763,EU,AP,2023EU21821,MST,2023-Aug-03,,,30
13278,EU,Issued,2023EU22964,WRW,2023-Aug-04,2023-Aug-07,3,3
14187,EU,Issued,2023EU23248,TIA,2023-Aug-03,2023-Aug-18,15,15
13280,EU,Issued,2023EU23520,WRW,2023-Aug-04,2023-Aug-07,3,3
14878,EU,Issued,2023EU23617,TIA,2023-Aug-03,2023-Aug-31,28,28
12776,EU,Refused221g,2023EU25118,TIA,2023-Aug-01,,,32
13283,EU,AP,2023EU26053,TIA,2023-Aug-01,2023-Aug-10,9,9
12781,EU,Refused221g,2023EU26088,ATA,2023-Aug-03,,,30
12782,EU,Refused221g,2023EU26096,GUZ,2023-Aug-04,,,29
13286,EU,Ready,2023EU26354,TIA,2023-Aug-01,2023-Aug-08,7,7
13287,EU,Issued,2023EU26576,YRV,2023-Aug-03,2023-Aug-08,5,5
12786,EU,Refused221g,2023EU26620,YRV,2023-Aug-03,,,30
13288,EU,Issued,2023EU26703,YRV,2023-Aug-04,2023-Aug-08,4,4
14891,EU,Issued,2023EU26798,YRV,2023-Aug-03,2023-Sep-01,29,29
