ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
8826,EU,Administrative Processing,2022EU19318,TIA,2022-Jul-07,2022-Jul-22,15,15
11350,EU,Administrative Processing,2022EU19504,MDD,2022-Jul-08,2022-Aug-11,34,34
8832,EU,Issued,2022EU19525,CHS,2022-Jul-08,2022-Jul-18,10,10
8835,EU,Issued,2022EU19624,TIA,2022-Jul-08,2022-Jul-22,14,14
8836,EU,Issued,2022EU19806,TIA,2022-Jul-07,2022-Jul-22,15,15
11358,EU,Issued,2022EU20038,TIA,2022-Jul-07,2022-Aug-12,36,36
8840,EU,Issued,2022EU20242,TIA,2022-Jul-08,2022-Jul-22,14,14
8841,EU,Issued,2022EU20305,PRI,2022-Jul-07,2022-Jul-14,7,7
8844,EU,Administrative Processing,2022EU20376,TIA,2022-Jul-08,2022-Jul-22,14,14
9688,EU,Issued,2022EU20398,ATH,2022-Jul-07,2022-Jul-29,22,22
9691,EU,Issued,2022EU20432,ATH,2022-Jul-05,2022-Jul-29,24,24
9693,EU,Issued,2022EU20641,PRI,2022-Jul-07,2022-Jul-28,21,21
8851,EU,Refused,2022EU20941,MTL,2022-Jul-07,2022-Jul-22,15,15
14655,EU,Issued,2022EU20944,CHS,2022-Sep-02,2022-Sep-09,7,7
7958,EU,Refused,2022EU20968,MTL,2022-Jul-06,,,423
8854,EU,Administrative Processing,2022EU21182,CHS,2022-Jul-08,2022-Jul-22,14,14
10572,EU,Issued,2022EU21368,FRN,2022-Jul-08,2022-Aug-05,28,28
11375,EU,Administrative Processing,2022EU21481,FRN,2022-Jul-07,2022-Aug-12,36,36
8860,EU,Issued,2022EU21557,JHN,2022-Jul-08,2022-Jul-13,5,5
7964,EU,Refused,2022EU22068,ATH,2022-Jul-08,,,421
8869,EU,Issued,2022EU22378,SKO,2022-Jul-08,2022-Jul-20,12,12
10589,EU,Issued,2022EU22400,ATH,2022-Jul-05,2022-Aug-03,29,29
8871,EU,Issued,2022EU22444,CHS,2022-Jul-08,2022-Jul-12,4,4
17872,EU,Refused,2022EU22555,CHS,2022-Jul-08,2022-Sep-30,84,84
9723,EU,Issued,2022EU22861,FRN,2022-Jul-07,2022-Jul-26,19,19
8893,EU,Issued,2022EU24262,BDP,2022-Jul-06,2022-Jul-12,6,6
8895,EU,Issued,2022EU24442,SKO,2022-Jul-07,2022-Jul-13,6,6
8898,EU,Administrative Processing,2022EU24673,SKO,2022-Jul-07,2022-Jul-22,15,15
8901,EU,Issued,2022EU24854,YRV,2022-Jul-07,2022-Jul-20,13,13
8902,EU,Issued,2022EU24860,YRV,2022-Jul-07,2022-Jul-13,6,6
8903,EU,Issued,2022EU24953,TAL,2022-Jul-06,2022-Jul-14,8,8
8904,EU,Issued,2022EU25003,SKO,2022-Jul-05,2022-Jul-13,8,8
8905,EU,Issued,2022EU25106,YRV,2022-Jul-07,2022-Jul-22,15,15
8907,EU,Issued,2022EU25144,YRV,2022-Jul-08,2022-Jul-12,4,4
10623,EU,Issued,2022EU25200,LND,2022-Jul-08,2022-Aug-05,28,28
10626,EU,Issued,2022EU25568,YRV,2022-Jul-07,2022-Aug-03,27,27
8918,EU,Issued,2022EU25815,LND,2022-Jul-08,2022-Jul-15,7,7
14702,EU,Administrative Processing,2022EU25872,YRV,2022-Jul-07,2022-Sep-09,64,64
10629,EU,Issued,2022EU25937,YRV,2022-Jul-07,2022-Aug-05,29,29
8920,EU,Issued,2022EU26244,YRV,2022-Jul-07,2022-Jul-21,14,14
15619,EU,Issued,2022EU26566,MDD,2022-Jul-05,2022-Sep-16,73,73
8925,EU,Issued,2022EU26605,TBL,2022-Jul-06,2022-Jul-19,13,13
17912,EU,Issued,2022EU26711,CDJ,2022-Jul-07,2022-Sep-28,83,83
8929,EU,Issued,2022EU26817,SKO,2022-Jul-07,2022-Jul-14,7,7
8933,EU,Issued,2022EU26941,YRV,2022-Jul-07,2022-Jul-22,15,15
9758,EU,Issued,2022EU27250,ATH,2022-Jul-08,2022-Jul-28,20,20
17921,OC,Issued,2022OC165,SYD,2022-Jul-05,2022-Sep-28,85,85
